,account_id,account_name,ad_id,area,area_name,area_v2,category,category_name,image,latitude,longitude,location,list_id,list_time,price,region_name,rooms,size,street_name,subject,type,ward_name
0,25617600,Bon,148725292,96,Quận 1,13096,1020,Nhà ở,https://cdn.chotot.com/bvNlp63w45h4irNytzZ8OTD2mO7oqRpQanecsHcOr5E/preset:listing/plain/49f00168b9f14b710487637989153bec-2876380753218616902.jpg,10.7733,106.7003,"10.7733,106.7003",108832494,1714788004214.0,128000000000.0,Tp Hồ Chí Minh,3.0,32.0,Đường Trần Khắc Chân,"Bán nhà hẽm ôtô 94/8 Trần Khắc Chân ,Quận 1 ( Chủ nhà)",s,Phường Tân Định
1,12197730,Thanh Mỹ,151686180,96,Quận 1,13096,1020,Nhà ở,https://cdn.chotot.com/_1mpTUDZadgvUGqahsrAqDOQWGKS6uIv-r5OmpbV2n4/preset:listing/plain/b42a332970b1db452a37aa64126367be-2850457406462965334.jpg,10.7932,106.69117,"10.7932,106.69117",111367540,1714787910000.0,7100000000.0,Tp Hồ Chí Minh,3.0,32.0,Trần Khắc Chân,Bán Nhà Hẻm Xe Hơi Trần Khắc Chân Thông Ra Hoàng Sa P.Tân Định Q.1,s,Phường Tân Định
2,12197730,Thanh Mỹ,148333651,96,Quận 1,13096,1020,Nhà ở,https://cdn.chotot.com/VhFwiSgromhPjEs7yAeobMqEExpuWZ9TLhCW7gXpgDs/preset:listing/plain/588ee4161a425f177544d91900a2958f-2835809678789867135.jpg,10.760445,106.69152,"10.760445,106.69152",108500488,1714787901000.0,12000000000.0,Tp Hồ Chí Minh,6.0,64.0,Đường Trần Ðình Xu,Bán Nhà Trệt + 4 lầu Hẻm 35 Trần Đình Xu P.Cầu Kho Q.1,s,Phường Cầu Kho
3,12197730,Thanh Mỹ,155646059,96,Quận 1,13096,1020,Nhà ở,https://cdn.chotot.com/dXzBSDHQY0YjEIgd9SOIUc-GkpMSjrzbBxPXQznwOGE/preset:listing/plain/40444335486315f68ff2f25a8e414ad5-2870276503845814498.jpg,10.758,106.6886,"10.758,106.6886",114771348,1714787890000.0,7100000000.0,Tp Hồ Chí Minh,4.0,48.0,Nguyễn Cảnh Chân,Bán Nhà Nguyễn Cảnh Chân P.Cầu Kho Q.1,s,Phường Cầu Kho
4,3510954,Hoàng Dương,148754019,96,Quận 1,13096,1020,Nhà ở,https://cdn.chotot.com/Tc-H1ud5MgEnwuotE07aVZTfOfMNGj-nmm_wQtWxrJE/preset:listing/plain/f87b5777cc36038f87f2421a10eedc0b-2837651165787024193.jpg,10.767,106.6873,"10.767,106.6873",108857288,1714787121000.0,14500000000.0,Tp Hồ Chí Minh,1.0,86.0,Đường Cống Quỳnh,"Cần tiền bán căn nhà HXH Cống Quỳnh, Q1, 86m2 giá chỉ 14,5 tỷ",s,Phường Nguyễn Cư Trinh
5,3510954,Hoàng Dương,155658096,96,Quận 1,13096,1020,Nhà ở,https://cdn.chotot.com/0bf4Cb0QMbS-gL1Iym8Lbxcnu6fo3L4TdIKslWS3R9c/preset:listing/plain/8c946d98a0b489ac0ec360b156e178c7-2870303609895131921.jpg,10.7622,106.6886,"10.7622,106.6886",114781821,1714787117000.0,12200000000.0,Tp Hồ Chí Minh,4.0,52.0,Trần Đình Xu,"Bán rẻ! Nhà  4 tầng  (4x13,5) HXH Trần Đình Xu",s,Phường Nguyễn Cư Trinh
6,15097873,Trần Ngọc,156894778,96,Quận 1,13096,1020,Nhà ở,https://cdn.chotot.com/QLKg-sRRSn1JvIBiyWHRV-adfezSgnL1Vd2YyTIuXSI/preset:listing/plain/ca193fed1075013a7190872b43a9adda-2875655231581611139.jpg,10.7917,106.6931,"10.7917,106.6931",115841345,1714787107040.0,5500000000.0,Tp Hồ Chí Minh,3.0,29.0,Đường Nguyễn Phi Khanh,"Nhà Q1, ô tô đỗ cửa, 3 lầu + sân thượng, Giá 5,5 tỷ TL",s,Phường Tân Định
7,31103,Trần trung Hiếu,156370746,96,Quận 1,13096,1020,Nhà ở,https://cdn.chotot.com/Wm3tp_feCuP-flNGGBoLhmeWUmlC7Pg_vvN5GQOuRHc/preset:listing/plain/5e54b88cbfe57f33b967015422f52be3-2873346195804145570.jpg,10.7676,106.6943,"10.7676,106.6943",115394421,1714786788000.0,130000000000.0,Tp Hồ Chí Minh,11.0,154.0,Đường Bùi Viện,"Bán Khách Sạn 27-29 BÙI VIỆN, P.PNL, Q1. DT 8x20m, HHMG",s,Phường Phạm Ngũ Lão
8,31103,Trần trung Hiếu,156728693,96,Quận 1,13096,1020,Nhà ở,https://cdn.chotot.com/WBx7O_eyxEyiS3cmqb1Bu3XbPzuOqFzg29kpWy5vsKo/preset:listing/plain/70a3f3abaed34f64b5eae9b13cab81c9-2874923251994059459.jpg,10.7952,106.6911,"10.7952,106.6911",115699420,1714786709000.0,24500000000.0,Tp Hồ Chí Minh,5.0,82.5,Đường Hoàng Sa,"Nhà 4 tầng MTKD Hoàng Sa, Q1. DT 5.5x15m, nở hậu",s,Phường Tân Định
9,25708399,Oanh Võ,154926171,96,Quận 1,13096,1020,Nhà ở,https://cdn.chotot.com/-zxyywQowSCPzNTzDmAAS-zc2dxU20fHuau0E_nk5rg/preset:listing/plain/224994ae5973d0d8532a7424cdfed0c9-2867224114360407612.jpg,10.7676,106.6943,"10.7676,106.6943",114148817,1714786165000.0,3390000000.0,Tp Hồ Chí Minh,2.0,40.2999,Bùi Viện,"Nhà tồn trước tết | Bùi Viện, Quận 1 | 40m2 Giá 3,39 Tỷ, SHR, tặng NT",s,Phường Phạm Ngũ Lão
